State_name,State_code,Year,Population,Sex,Median_household_income,Age_label,Age_group
Alabama,01,2021,15928,0,53913.0,84,76-84
Alabama,01,2022,16975,0,59674.0,84,76-84
Alabama,01,2023,17089,0,62212.0,84,76-84
Alabama,01,2021,86160,0,53913.0,85+,85+
Alabama,01,2022,87122,0,59674.0,85+,85+
Alabama,01,2023,90419,0,62212.0,85+,85+
Alabama,01,2021,2452912,1,53913.0,All ages,All ages
Alabama,01,2022,2463660,1,59674.0,All ages,All ages
Alabama,01,2023,2479253,1,62212.0,All ages,All ages
Alabama,01,2021,29500,1,53913.0,1,0-18
Alabama,01,2022,28991,1,59674.0,1,0-18
Alabama,01,2023,29805,1,62212.0,1,0-18
Alabama,01,2021,29962,1,53913.0,2,0-18
Alabama,01,2022,29804,1,59674.0,2,0-18
Alabama,01,2023,29300,1,62212.0,2,0-18
Alabama,01,2021,30875,1,53913.0,3,0-18
Alabama,01,2022,30200,1,59674.0,3,0-18
Alabama,01,2023,30274,1,62212.0,3,0-18
Alabama,01,2021,31193,1,53913.0,4,0-18
Alabama,01,2022,31144,1,59674.0,4,0-18
Alabama,01,2023,30515,1,62212.0,4,0-18
Alabama,01,2021,31593,1,53913.0,5,0-18
Alabama,01,2022,31366,1,59674.0,5,0-18
Alabama,01,2023,31458,1,62212.0,5,0-18
Alabama,01,2021,31607,1,53913.0,6,0-18
Alabama,01,2022,31859,1,59674.0,6,0-18
Alabama,01,2023,31676,1,62212.0,6,0-18
Alabama,01,2021,31411,1,53913.0,7,0-18
Alabama,01,2022,31843,1,59674.0,7,0-18
Alabama,01,2023,32077,1,62212.0,7,0-18
Alabama,01,2021,30998,1,53913.0,8,0-18
Alabama,01,2022,31621,1,59674.0,8,0-18
Alabama,01,2023,32106,1,62212.0,8,0-18
Alabama,01,2021,31355,1,53913.0,9,0-18
Alabama,01,2022,31313,1,59674.0,9,0-18
Alabama,01,2023,31854,1,62212.0,9,0-18
Alabama,01,2021,31965,1,53913.0,10,0-18
Alabama,01,2022,31587,1,59674.0,10,0-18
Alabama,01,2023,31571,1,62212.0,10,0-18
Alabama,01,2021,32620,1,53913.0,11,0-18
Alabama,01,2022,32192,1,59674.0,11,0-18
Alabama,01,2023,31833,1,62212.0,11,0-18
Alabama,01,2021,33616,1,53913.0,12,0-18
Alabama,01,2022,32959,1,59674.0,12,0-18
Alabama,01,2023,32565,1,62212.0,12,0-18
Alabama,01,2021,34849,1,53913.0,13,0-18
Alabama,01,2022,33849,1,59674.0,13,0-18
Alabama,01,2023,33246,1,62212.0,13,0-18
Alabama,01,2021,34704,1,53913.0,14,0-18
Alabama,01,2022,35130,1,59674.0,14,0-18
Alabama,01,2023,34235,1,62212.0,14,0-18
Alabama,01,2021,33865,1,53913.0,15,0-18
Alabama,01,2022,34937,1,59674.0,15,0-18
Alabama,01,2023,35446,1,62212.0,15,0-18
Alabama,01,2021,33350,1,53913.0,16,0-18
Alabama,01,2022,34041,1,59674.0,16,0-18
Alabama,01,2023,35152,1,62212.0,16,0-18
Alabama,01,2021,33433,1,53913.0,17,0-18
Alabama,01,2022,33462,1,59674.0,17,0-18
Alabama,01,2023,34126,1,62212.0,17,0-18
Alabama,01,2021,33621,1,53913.0,18,0-18
Alabama,01,2022,34003,1,59674.0,18,0-18
Alabama,01,2023,34165,1,62212.0,18,0-18
Alabama,01,2021,35023,1,53913.0,19,19-30
Alabama,01,2022,35241,1,59674.0,19,19-30
Alabama,01,2023,35966,1,62212.0,19,19-30
Alabama,01,2021,34615,1,53913.0,20,19-30
Alabama,01,2022,33798,1,59674.0,20,19-30
Alabama,01,2023,34251,1,62212.0,20,19-30
Alabama,01,2021,34365,1,53913.0,21,19-30
Alabama,01,2022,34550,1,59674.0,21,19-30
Alabama,01,2023,33944,1,62212.0,21,19-30
Alabama,01,2021,33799,1,53913.0,22,19-30
Alabama,01,2022,34530,1,59674.0,22,19-30
Alabama,01,2023,34807,1,62212.0,22,19-30
Alabama,01,2021,33427,1,53913.0,23,19-30
Alabama,01,2022,33687,1,59674.0,23,19-30
Alabama,01,2023,34528,1,62212.0,23,19-30
Alabama,01,2021,32267,1,53913.0,24,19-30
Alabama,01,2022,32928,1,59674.0,24,19-30
Alabama,01,2023,33191,1,62212.0,24,19-30
Alabama,01,2021,31530,1,53913.0,25,19-30
Alabama,01,2022,31767,1,59674.0,25,19-30
Alabama,01,2023,32353,1,62212.0,25,19-30
Alabama,01,2021,31680,1,53913.0,26,19-30
Alabama,01,2022,31286,1,59674.0,26,19-30
Alabama,01,2023,31588,1,62212.0,26,19-30
Alabama,01,2021,32258,1,53913.0,27,19-30
Alabama,01,2022,31585,1,59674.0,27,19-30
Alabama,01,2023,31205,1,62212.0,27,19-30
Alabama,01,2021,32805,1,53913.0,28,19-30
Alabama,01,2022,32193,1,59674.0,28,19-30
Alabama,01,2023,31583,1,62212.0,28,19-30
Alabama,01,2021,33252,1,53913.0,29,19-30
Alabama,01,2022,32836,1,59674.0,29,19-30
Alabama,01,2023,32301,1,62212.0,29,19-30
Alabama,01,2021,33918,1,53913.0,30,19-30
Alabama,01,2022,33491,1,59674.0,30,19-30
Alabama,01,2023,32975,1,62212.0,30,19-30
Alabama,01,2021,33989,1,53913.0,31,31-45
Alabama,01,2022,34040,1,59674.0,31,31-45
Alabama,01,2023,33706,1,62212.0,31,31-45
Alabama,01,2021,32465,1,53913.0,32,31-45
Alabama,01,2022,33908,1,59674.0,32,31-45
